animalid,birthdate,animaltype,color,weight,location
80066a4b41ac06,05/11/2019,Cat,Blue Tabby/White,4.0,Fort Worth
968bf2e7230d2f,11/12/2012,Cat,Torbie,7.0,Houston
8aacfe19c56b0f,07/08/2013,Dog,White/Tan,45.0,Austin
7126d96889803f,04/05/2015,Cat,Black,3.0,Houston
9617240ad5b268,04/29/2014,Cat,Black,9.0,Houston
fd7bf1fa986957,10/11/2017,Dog,Tan/White,39.0,Austin
691081c83b1075,07/11/2016,Dog,White/Tan,3.0,Fort Worth
f957d0fabf9e63,02/10/2018,Dog,Black/Brown,24.0,Fort Worth
43dfa7ef83d83b,10/26/2018,Dog,Brown,36.0,San Antonio
2f17d474be934d,05/03/2017,Dog,White/White,16.0,Austin
e03a24b436f6db,10/27/2013,Dog,Yellow,13.0,Houston
fd8befa64f05ff,04/26/2017,Cat,Brown Tabby,9.0,Houston
b8f7754e09af92,06/10/2020,Cat,Orange Tabby,2.0,Austin
ed2978cd5bca69,09/14/2018,Dog,Black/Tan,22.0,San Antonio
3adda287db4c37,09/11/2019,Dog,White/Chocolate,22.0,Fort Worth
8fe65f7a703ade,02/25/2013,Dog,Yellow,3.0,Dallas
9198f5e5e2b32c,09/06/2014,Cat,Black/White,2.0,San Antonio
733dee1e460256,08/30/2012,Dog,Sable,22.0,Dallas
29742f716a301a,09/24/2018,Cat,Brown Tabby,5.0,Dallas
feed1f9d487c71,08/20/2014,Cat,Brown Tabby/White,8.0,San Antonio
bb1cd9438679b9,09/25/2013,Dog,Black/Tan,36.0,Fort Worth
8c7eee119f7f16,09/22/2016,Cat,Black,5.0,Fort Worth
e82a5937e6958c,02/28/2016,Dog,White/Gray,35.0,San Antonio
3e86b596b8f94a,11/01/2013,Dog,Brown/White,14.0,Austin
c47b50c3868715,11/23/2010,Dog,Blue,42.0,Austin
5ef4a5f2b06b50,12/19/2015,Dog,Black/Brown,22.0,Austin
9c6cbeb11aaabc,05/05/2007,Dog,White/Black,22.0,Houston
4cc9a2d6557b4f,11/19/2018,Cat,Blue,2.0,Houston
4a9d89bd1378ec,09/25/2019,Dog,Blue/White,37.0,Austin
4f46d36ab99548,02/10/2017,Cat,Torbie,9.0,San Antonio
d8e7b3880035c4,02/15/2016,Dog,Brown/White,43.0,Dallas
550ed0816fc65d,07/08/2014,Dog,White/Brown,29.0,Houston
4b0cf80d2eabc6,08/30/2015,Dog,Tan,28.0,San Antonio
3cdc1c237af327,05/21/2018,Cat,Calico,2.0,Austin
16e73c9bdb6569,04/18/2014,Cat,Brown Tabby/White,9.0,Austin
82fa9abc14e29b,09/02/2016,Dog,Black,12.0,Fort Worth
03186fdb951871,12/13/2014,Dog,Black/White,8.0,Houston
1504374bd359c1,02/21/2018,Dog,White/Tan,23.0,Fort Worth
f0304878e79ba0,12/17/2016,Dog,Brown/White,9.0,Austin
66e69ec109805f,10/26/2015,Cat,Orange Tabby,3.0,Austin
203ae63390f5f7,03/13/2017,Dog,Brown/White,33.0,San Antonio
b9e989c53dda8d,12/18/2017,Dog,White,25.0,Dallas
29e5db0f4ac30e,10/10/2009,Dog,White/Brown Brindle,7.0,Austin
ad1faa45954f75,05/01/2013,Dog,Red/White,37.0,Fort Worth
43fe85cc3aae6d,12/28/2011,Cat,Blue Tabby/White,7.0,Austin
