sponsorid,id,Birthdate,Outcome,OutcomeSubtype,AnimalType,Color,Weight,Location
87c9e6bed704,53830a59510f26,11/16/2016,Transfer,Partner,Cat,Orange Tabby/White,3.0,Fort Worth
1ac71de5bafb,df09b00b80962f,03/26/2019,Transfer,Partner,Cat,Brown Tabby,3.0,Houston
0b072ca61613,31a2d9c34788c6,06/03/2017,Adoption,,Cat,Orange Tabby,8.0,Austin
d1c7e5362bbd,048ececf262f52,03/28/2018,Adoption,,Cat,Gray Tabby,6.0,Austin
7d44cdcb3a62,54262d8e84b358,01/14/2019,Adoption,,Dog,Red/White,24.0,Austin
79a98bc73172,e094b3cd44cacf,03/24/2014,Adoption,,Cat,Blue Tabby,6.0,San Antonio
5a5fef78e793,8f4e7396234038,02/08/2014,Return to Owner,,Dog,Brown Brindle/White,46.0,San Antonio
c03a5a6641f6,ee53a5cc6f3e35,07/09/2020,Transfer,Partner,Cat,Black/White,10.0,Houston
df182d983fdd,c295865da0085f,04/16/2018,Adoption,,Dog,Black/White,49.0,Houston
76efede56fa5,932dea6e0c7c76,02/08/2015,Transfer,Partner,Dog,Blue/White,17.0,Houston
7afe5d49c8b3,e60bacc80e9cd0,02/02/2019,Adoption,,Dog,Tan/Brown,48.0,Fort Worth
b0d82b0b0026,2200421630fb10,02/02/2009,Adoption,,Dog,Tricolor,34.0,San Antonio
45699eb50132,31376f10e88132,09/05/2019,Adoption,Foster,Cat,Brown Tabby/White,5.0,San Antonio
86e715e8a37a,6658dcc5f03975,11/01/2002,Transfer,Partner,Cat,Tortie,10.0,Dallas
98e65831ea7f,41c22ed2fe9527,08/19/2011,Transfer,Partner,Dog,Brown,19.0,Houston
5af41610af1b,bf6b3ef350e3ea,03/17/2018,Transfer,Partner,Dog,Tan,9.0,San Antonio
c7fb46ba04f6,e02be591f74fc1,11/08/2015,Return to Owner,,Dog,White,32.0,San Antonio
baa4ed8b42ba,6e2ec16fa11559,12/13/2012,Transfer,Partner,Dog,Blue/White,23.0,Houston
532918d93418,2364d0d8f15da6,01/18/2015,Transfer,Partner,Dog,Tan/White,35.0,Austin
a86b1f84ee43,1dcbe494e80f26,02/11/2014,Transfer,Partner,Bird,Yellow,1.34,Austin
1379e352161e,f04a0f8ffea5f2,01/31/2015,Adoption,,Dog,Tricolor,4.0,Houston
41843ff1943c,92aea990646384,04/15/2019,Transfer,Partner,Cat,Black,10.0,Austin
8c1dc833dac3,4d7cb0c182af27,07/22/2009,Adoption,,Dog,Buff/White,10.0,San Antonio
9b413e2ed2c6,0c7e5b51ac7cdd,04/24/2013,Return to Owner,,Dog,White/Blue,5.0,Fort Worth
0ef8beff31f4,97c1619a088c32,08/16/2016,Transfer,Partner,Cat,Blue,6.0,Austin
04a27ca98cfd,5155f5954e4b35,02/02/2014,Adoption,,Dog,Brown/White,48.0,Austin
8dee6b80d520,b390bbfe174450,12/07/2016,Return to Owner,,Dog,Blue/White,42.0,San Antonio
e5ae009d6ec3,0bf7a2ba73c167,09/03/2014,Adoption,,Cat,Brown Tabby,4.0,Houston
ed15ef1468eb,813c0db9a7e749,09/18/2009,Adoption,,Dog,Brown,23.0,Austin
682f12007f4a,3986cb227ba3d1,09/01/2009,Return to Owner,,Dog,Brown/White,38.0,Houston
5cfac40a5c9f,b471966b18cb42,05/10/2015,Died,In Kennel,Cat,Black,3.0,Houston
e3f7bb28c293,2c49d2cb6f5ef8,02/05/2015,Adoption,,Cat,Orange Tabby/White,7.0,San Antonio
4736c41adbb3,e425a8374b392f,12/05/2012,Return to Owner,,Dog,Chocolate,37.0,Houston
9e450d0948d3,78dd38263a4f06,11/21/2018,Transfer,Partner,Dog,Black/White,21.0,Houston
19b6f84abbe0,cadaca6b9e29cb,02/07/2019,Adoption,,Dog,Red,14.0,Houston
dacf96f776b0,0d5eec09e2b2ae,11/13/2019,Transfer,Partner,Dog,White/Blue Tick,5.0,Austin
c7b8cc4390e8,0a75bb612f4e76,08/27/2019,Return to Owner,,Dog,Tan/White,23.0,Fort Worth
ecbbeedc6aba,0fae73b34c9c2d,08/02/2014,Adoption,,Cat,Blue,9.0,Fort Worth
9f943fdc259c,4a531620387a34,05/06/2013,Adoption,,Dog,Black/Tan,30.0,San Antonio
5a11a23c7879,25b901680d0491,05/03/2009,Transfer,Partner,Dog,Brown/White,19.0,Fort Worth
1a23d30bf3b3,7c0d771e1a7a0f,08/21/2020,Adoption,,Cat,Brown Tabby,7.0,Dallas
a753dcc7cab0,a49aa1dcababae,07/13/2016,Adoption,,Dog,Black/White,40.0,Houston
23e88e8831a4,8d18f31c659499,10/08/2011,Adoption,,Dog,Red/White,4.0,Houston
c061921c991b,34fa927e49522c,05/05/2019,Transfer,Partner,Dog,Tan/White,26.0,San Antonio
1040503aa6ed,744248b9f8a114,05/21/2017,Transfer,Partner,Cat,Silver Tabby,2.0,Houston
1f9ac24a1646,c8508d6f972c6f,02/06/2020,Transfer,Partner,Dog,Black/White,25.0,Austin
470e635038c9,1cd61cc4a751aa,02/15/2015,Transfer,Partner,Dog,White,18.0,San Antonio
3ea5bc9ac535,f037ff891b99d3,09/10/2020,Transfer,Partner,Cat,Black,2.0,Houston
9fa2c58eb2ac,8a4e1a86e0a716,08/22/2016,Adoption,Foster,Cat,Black/White,2.0,Dallas
6a987c07f54a,130aa39d45925c,04/09/2015,Transfer,Partner,Cat,Tortie,8.0,Houston
951d76a5dd40,5c6582200618f3,12/12/2011,Adoption,,Cat,Brown Tabby,5.0,Houston
75f630c607af,243d5c754e34ee,11/20/2012,Transfer,Partner,Cat,Blue/White,5.0,San Antonio
945c5735b896,97c1df87be4552,04/10/2015,Transfer,Snr,Cat,Tortie,3.0,San Antonio
0b41dc785ad7,02dd38de1100be,04/13/2016,Adoption,Foster,Cat,Orange Tabby,6.0,Dallas
0e4b78106dff,089f1b2ae30bf5,11/25/2013,Transfer,SCRP,Cat,Brown Tabby/White,9.0,Houston
758e642f0c6c,229431ce57656d,06/16/2018,Transfer,Partner,Cat,Black/White,4.0,Austin
4871d4ecda13,bcf8679801b493,12/03/2018,Return to Owner,,Dog,Black/White,11.0,Austin
e4c42380fe99,51b192d9c53f18,05/21/2019,Transfer,Partner,Cat,Brown Tabby,10.0,Houston
b7106c7b16b9,fa43b9adb7cfe5,10/26/2011,Return to Owner,,Dog,Tan/White,17.0,Fort Worth
9ac45b780ceb,5bb529bbacbc9e,03/24/2010,Adoption,,Cat,Orange Tabby,5.0,Austin
914d9e4e380a,c46dfad7538064,03/06/2020,Adoption,Foster,Cat,Lynx Point,4.0,Houston
87d74bd3cac2,14571e9fcaa883,10/20/2009,Return to Owner,,Dog,Black/White,19.0,San Antonio
dd8727e595c4,ea002a8be7ae31,11/25/2016,Transfer,Partner,Dog,Black/Tan,46.0,San Antonio
9f057d1ce0d3,5363559486e81c,09/22/2014,Transfer,SCRP,Cat,Black,4.0,Fort Worth
7702a3e021f1,c8808dc6fc17e8,11/14/2012,Return to Owner,,Dog,White/Blue,45.0,Austin
cefcde5d2e2e,564f27a5d8574c,11/05/2016,Adoption,Foster,Cat,White/Brown Tabby,2.0,Dallas
e3b0311b8e14,e0426f3c8bc0f2,04/29/2007,Adoption,Offsite,Dog,White/Black,14.0,Austin
0dc1c49f26be,3aaf267551103f,09/09/2017,Return to Owner,,Dog,Brown/White,29.0,Austin
7894a147d426,c5cab39e0f28b2,10/18/2017,Rto-Adopt,,Dog,Fawn/White,8.0,Dallas
6bec63204460,0dbe35334f84e3,01/01/2012,Return to Owner,,Dog,Red,25.0,San Antonio
881533150ac0,33d8d06d6def63,05/18/2015,Transfer,Partner,Cat,Black,7.0,Houston
ed8dbb4ef6a9,bf1d9c68b061c8,12/10/2016,Adoption,,Cat,Chocolate Point,3.0,Houston
b7549cc0fb4a,6d714b7311ef18,09/08/2012,Transfer,SCRP,Cat,Black/White,10.0,Houston
fad768531bfb,7b4e34ebce7836,11/24/2016,Adoption,,Dog,Black/White,13.0,Austin
ca5eb0e68385,996e40db194281,05/18/2014,Transfer,Partner,Dog,Brown/White,8.0,Austin
e7f8b1b2ddb7,b2f9efae36a2ec,06/17/2019,Transfer,Partner,Dog,Gray/White,11.0,Houston
e759bb083bb0,5901f503513fa8,07/21/2012,Return to Owner,,Cat,Black/White,9.0,Austin
06d226369020,f39edbf3fb797c,10/30/2016,Adoption,,Dog,Tan/White,16.0,Houston
6cf8097f4f30,d032a4c31763a9,11/11/2012,Adoption,,Dog,Black/White,16.0,Houston
75a67e13aa56,eb527cea947584,05/29/2013,Transfer,Partner,Cat,Black,8.0,Austin
83886c31885e,dbe4beb036858d,03/04/2013,Transfer,Partner,Dog,Tricolor,22.0,Houston
0ef7a3d61c62,a94ce4ef4da24c,01/04/2015,Return to Owner,,Dog,White/Black,3.0,Austin
8a25eb4c9839,6b32413fa0993d,05/28/2016,Return to Owner,,Dog,Yellow,44.0,Houston
f33d8b8465cd,4a789c78ba0f2c,12/08/2011,Return to Owner,,Dog,Tan,20.0,Dallas
e3b01699943c,08099563f41086,04/25/2015,Adoption,,Cat,Brown Tabby/White,3.0,Houston
ab44aceb3031,70247accf21f70,03/29/2014,Euthanasia,Suffering,Cat,Black/White,3.0,Austin
c0736143e913,67dc82da6eb4e9,05/24/2015,Adoption,,Dog,Black/Gray,21.0,San Antonio
8fde36f14456,817efc17b5fcd7,04/29/2018,Adoption,,Dog,Tan,26.0,Fort Worth
2e0b4546af33,a009edb362d57d,07/18/2017,Adoption,,Dog,Brown/White,4.0,Fort Worth
f4adabca7220,b4311a519e12ab,04/20/2013,Adoption,,Dog,Tricolor,42.0,Austin
cb9e3e026a8e,79fa0fd337e2c3,02/16/2016,Return to Owner,,Dog,Black,3.0,San Antonio
fc5aa705ae94,5b4bcd8bebb303,03/29/2014,Transfer,Partner,Dog,Blue/White,49.0,San Antonio
fb8e327c3599,6cd03579e97cde,01/05/2021,Adoption,,Cat,Black,2.0,Houston
bba828e4899f,3cb6a1b9995504,09/04/2015,Adoption,Foster,Cat,Orange Tabby/White,10.0,Houston
1e40c1f68686,90d8a3cba39738,03/13/2016,Return to Owner,,Dog,Black/White,22.0,San Antonio
126225d4c526,75d8d926f7c9b4,02/12/2012,Transfer,Partner,Cat,Tortie,3.0,Dallas
e954ef068c4d,cc6f54ae68df0a,07/28/2016,Transfer,Partner,Dog,Brown Merle,22.0,Houston
401f61c039cb,149374d65a84c9,09/11/2009,Rto-Adopt,,Cat,Torbie/White,4.0,Austin
a48c79694d40,4c475f15519448,06/06/2014,Return to Owner,,Dog,Tan/White,3.0,Austin
95b87783cecc,7ba11bb6e0aef1,05/07/2014,Transfer,Partner,Dog,White/Black,6.0,Dallas
f7fce32b946c,6e49c0c9c5321f,05/30/2016,Adoption,,Dog,Brown/White,6.0,Dallas
f8ec6ad6c677,268628bc1cae9e,03/20/2016,Adoption,,Cat,Tortie,9.0,Fort Worth
eb1f4e7eae1e,7bc17b8d8a8ece,01/12/2017,Transfer,Partner,Dog,White/Tan,47.0,Dallas
52badba1169f,58ebcdeee50867,02/13/2013,Adoption,,Dog,White,11.0,Austin
5d2013540780,c98279c59682dc,11/19/2018,Adoption,,Dog,Black/Tan,4.0,San Antonio
453404077302,bd0ad2ce291824,03/27/2012,Transfer,Partner,Dog,Chocolate/White,44.0,Dallas
48e70c04520b,cc8c39554aa49b,01/22/2016,Adoption,,Dog,Blue Merle,38.0,Austin
90b96e4b704b,c9201426bcf1ce,02/18/2017,Transfer,Partner,Dog,Brown/White,8.0,Austin
126ed2df2d3f,54e5208a3e3371,07/30/2017,Transfer,Partner,Dog,White,18.0,Dallas
fa4099108f9c,1db7518a8527b8,04/22/2014,Adoption,,Dog,Tan,41.0,Houston
f9027c6368c3,d16ba525317c80,08/18/2020,Adoption,Foster,Cat,Blue Tabby,4.0,San Antonio
568ecf529343,38d563329ae2e4,03/27/2019,Adoption,,Cat,Blue Tabby,9.0,Austin
4446bd434786,e9fc149fd33cd1,05/16/2012,Return to Owner,,Dog,Black,18.0,Houston
e2b84c3b9234,ef0eaaf33875b8,07/31/2013,Return to Owner,,Dog,White/Brown,47.0,Houston
4c61e5c38775,3049f2b6e77b4b,08/12/2017,Transfer,Partner,Dog,Brown,28.0,Fort Worth
7ee0676c58cf,2679f6b3b06d84,02/09/2018,Adoption,,Dog,Black,19.0,Houston
c560a4a13e75,b26815303be3e5,10/05/2019,Adoption,,Cat,Orange Tabby,3.0,Dallas
75a90683e361,a5d89b8e4c652b,07/27/2017,Transfer,Partner,Cat,Gray Tabby,3.0,San Antonio
0910d904c5ad,fdd26cdeb40918,03/19/2014,Euthanasia,Suffering,Cat,Black/White,3.0,Houston
45da8ea6a919,e3ce901c42ee89,12/21/2006,Adoption,,Cat,Black/White,6.0,San Antonio
691910468cb5,3bf4a0b307a186,12/26/2015,Adoption,Foster,Dog,White,39.0,Dallas
69db348f0bcb,878bfd855b5180,11/06/2019,Transfer,Partner,Dog,White,12.0,Austin
6b88c614216b,a657c114ea5f6d,02/16/2015,Adoption,Offsite,Dog,Black/Tan,23.0,Austin
d82c7ffdaf85,478ff62e9f2682,04/27/2012,Return to Owner,,Dog,Chocolate/Tan,29.0,Austin
3ced15c779ae,39330e515f1c15,08/30/2015,Transfer,Partner,Cat,White/Brown Tabby,9.0,Austin
1ee48284ae1e,fca89d350dd087,10/17/2007,Adoption,,Dog,Black/White,11.0,Houston
e99a9b971a44,ab84d62ca1df19,08/04/2016,Return to Owner,,Dog,Brown Brindle/White,15.0,Dallas
fed8d1671ac6,aedca2496661ed,02/28/2014,Adoption,,Cat,Calico,5.0,San Antonio
cbec9279c263,3b0893d68089cc,07/20/2018,Adoption,,Cat,Black,9.0,Fort Worth
71ddad4660eb,cca0c2471732fb,07/23/2018,Adoption,Foster,Dog,Brown Brindle,5.0,Houston
ba1535ad93a5,7de35d14df7109,03/27/2005,Return to Owner,,Cat,Orange Tabby/White,3.0,Houston
5de4b7456b95,7131ca8491bdf1,03/25/2019,Transfer,Partner,Cat,Cream,4.0,Austin
3ece4bf86039,3ce2bb79c3aa17,12/01/2013,Euthanasia,Rabies Risk,Cat,White/Blue,6.0,Houston
91c40f96ff72,e7ef31aa58794d,10/09/2014,Adoption,,Cat,Black/White,2.0,Houston
edbb41adc8e6,91d4951959f36c,04/25/2018,Adoption,,Cat,Tortie,9.0,Austin
ae9a92316991,ad0ce91c34549b,10/26/2013,Transfer,Partner,Dog,Brown Brindle/White,14.0,Houston
8b0e78e3a0a8,e2e91abb94467d,09/29/2020,Transfer,Partner,Dog,Black/White,21.0,Fort Worth
57aec6af1ac1,fffed38b9502cc,02/22/2019,Adoption,,Dog,Blue Tick,11.0,Austin
12af6623a44f,3d842268df7ee7,04/05/2018,Adoption,Foster,Cat,Cream Tabby,8.0,Dallas
ae503eb35c38,32b0b02ec20b2c,12/14/2016,Adoption,,Dog,Red/White,14.0,Dallas
ce3ec5953625,177c8af43c3185,09/18/2002,Transfer,Partner,Dog,Tan,38.0,Austin
fb37e70acdcd,3748c3efaa1a69,09/02/2015,Transfer,Snr,Cat,Gray,5.0,Houston
47ceb0da1215,f6d09a3185ed81,03/15/2012,Adoption,,Cat,Calico,9.0,Houston
2964e70f5ba3,442ff5b74273fb,12/01/2013,Transfer,Partner,Dog,Blue/White,11.0,Fort Worth
d3b253e9dbc6,8d6de8b3b6d67b,01/27/2014,Return to Owner,,Dog,White,42.0,Austin
c7406b1c0a32,92d3cf27daa3bd,08/05/2014,Return to Owner,,Dog,Brown Brindle/White,27.0,Austin
690fd37e1042,3c81372fda32a6,07/18/2019,Transfer,Partner,Cat,Tortie,2.0,San Antonio
af63d2ac893b,0217d601279fa9,03/20/2012,Return to Owner,,Dog,Tricolor,19.0,San Antonio
45743b4ae924,e352d1fabd8b9c,08/06/2016,Adoption,,Dog,Sable/Brown,32.0,Houston
a03218cf1179,29f40f6c1230e8,12/21/2011,Transfer,Partner,Cat,White/Black,2.0,Dallas
f29c5c16d858,162843b3e13bdc,04/05/2017,Return to Owner,,Dog,Chocolate/Tan,17.0,Houston
f5ad4fbf1c22,2bc1c0a11c71cf,05/07/2003,Euthanasia,Suffering,Cat,White/Brown Tabby,2.0,Houston
2f8861666829,7ea25c54813f2f,03/19/2016,Adoption,,Dog,Red/White,12.0,Fort Worth
da895491a605,2dc0e43024fbe5,10/14/2018,Transfer,Snr,Cat,Blue,9.0,Houston
9c3adcb3c02c,857544055fc041,07/01/2015,Transfer,Partner,Dog,Black/Tan,8.0,San Antonio
3e2ab70fe7da,cc767302c49bcb,03/23/2018,Transfer,Partner,Cat,Black,4.0,Austin
23175bae54e9,924f0caa394e49,09/25/2019,Adoption,,Dog,Brown/Tricolor,16.0,Austin
0a98634d8c84,a9cbf7c55ae87a,06/02/2015,Adoption,,Dog,Blue/White,21.0,San Antonio
805cc19fb354,f9a2e3ea218484,09/01/2015,Adoption,Foster,Cat,Brown Tabby,8.0,Dallas
93c1188b89b5,70345864cbdcb9,08/13/2013,Return to Owner,,Dog,Blue/White,38.0,Houston
