sponsorid,animaltype,location
7e18c2a067e4fd,Cat,Houston
32372ddbe6e3ec,Cat,Austin
3b5b82a5555895,Dog,Austin
da29bb3c402c1c,Dog,Austin
15bf11c3efa431,Cat,Austin
36806649e5722d,Cat,Houston
d7062f851d9101,Cat,Houston
d231eaa79ced6f,Dog,Fort Worth
18596d0453f828,Dog,Austin
b3b7ec96b85208,Dog,Fort Worth
34c078327cb023,Dog,Houston
457b274c411d80,Dog,Dallas
da0121755df78f,Cat,Fort Worth
6882528aed2a85,Dog,Dallas
62509d57146db2,Cat,San Antonio
eeb87b8daa8bfd,Cat,Dallas
c8c655aed009c6,Cat,Houston
835b07d7237ec4,Cat,San Antonio
6fb51d036d6f79,Cat,Austin
7e254a95bb00ac,Dog,Dallas
089605af08a8a4,Cat,Austin
df19506168ad7e,Cat,San Antonio
0918714dc3a6e1,Dog,San Antonio
f4eb90ec7acc25,Dog,San Antonio
64cc3ddbe2f5be,Cat,Houston
214f8f6b359a1e,Dog,Houston
7525712d71930c,Dog,Houston
0ea863dbf1123f,Cat,Austin
7c0c3e04e6a4d4,Cat,San Antonio
ce9bc54c423ab3,Dog,San Antonio
d70e8a48b1165f,Cat,Austin
90ff982d8c9890,Dog,Fort Worth
01b6df09374aad,Cat,Austin
a3ca1878263065,Cat,San Antonio
5c0434772d6af1,Dog,Fort Worth
83066ff8f3b049,Dog,San Antonio
60d76a3514e071,Dog,Fort Worth
b91a9885287008,Dog,Houston
a391adcb8c4379,Dog,San Antonio
e59fe601ac9d1e,Cat,Austin
bc198be65dde75,Cat,San Antonio
8f4d1c3844bb5c,Dog,Fort Worth
e35dd271530738,Cat,Austin
7a72b8291dcc5e,Dog,Austin
b45f5e3926570a,Dog,Houston
4f685a2835db15,Dog,Austin
fc726065526a28,Dog,Fort Worth
a5bc174a2acc31,Cat,San Antonio
5025abc4977311,Dog,Dallas
e3e40530c8efb4,Dog,Fort Worth
b1eeaab6d18555,Cat,Austin
28a3c319470d24,Cat,Fort Worth
04d9fe8f2ba1aa,Dog,Houston
438efb0f97b6a3,Dog,San Antonio
e0aae52bf574d3,Dog,Houston
511f22687746a6,Cat,Fort Worth
f96955d7dcd852,Dog,Austin
4b539bb67bf672,Cat,Austin
e08ac15bee192c,Cat,Dallas
c57407fd046fbd,Cat,San Antonio
fb24cbe4682318,Cat,Fort Worth
c17f37d60f511e,Cat,Houston
605b0c0d4f2799,Cat,Houston
579c858e822e65,Cat,Austin
479343641e87dd,Cat,Houston
d98101f2b1b1bf,Dog,San Antonio
12d0965000404c,Cat,Austin
f4f56e0aa64fd3,Cat,San Antonio
375037db2af0ac,Cat,Houston
70edc08314271f,Dog,Houston
d52ae3de31e3ef,Dog,Houston
13182df85007b8,Cat,San Antonio
27dcb9c5c0f057,Cat,Houston
35baf4a588873a,Cat,Dallas
d370d3917501b3,Dog,Houston
155e38b60ec517,Cat,San Antonio
352a0aceb54599,Dog,Fort Worth
5cb6410785fac2,Dog,San Antonio
7037c3a5fd9fa5,Dog,Houston
b0c7a39ac02e2f,Dog,Houston
c05949ce2a20fd,Dog,Dallas
1a4ea48b1628de,Dog,Houston
268b4971ad7948,Dog,Austin
c6a2604c5d148f,Cat,Dallas
157ba0e18be115,Cat,Austin
dbcdea2853f8d2,Dog,San Antonio
feed1f9d487c71,Cat,San Antonio
c874c8615cf0d2,Dog,San Antonio
db70a8f92ab2d6,Dog,Austin
